"Product ID","Title","Tags","Matched Keywords","Matched Licensors","Winning Licensor","Winning Score","Reason"
"162182741","TSL  CaboBandz™","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"163519299","Pi Phi - Tote","Bag, Pi Beta Phi, RTS","Pi Beta Phi, Beta","Pi Beta Phi, Beta Theta Pi","Pi Beta Phi","90","Highest score match"
"163551685","EK - Dove Love Tote","Accessories, Bag, blackfriday2016, Clearance Bin, RTS, saleFEB2017, Sigma Kappa","Sigma Kappa","Sigma Kappa","Sigma Kappa","90","Highest score match"
"163567617","Theta Love - Tote","Kappa Alpha Theta, RTS","Kappa Alpha Theta","Kappa Alpha Theta","Kappa Alpha Theta","90","Highest score match"
"163576847","DG - Tote","Delta Gamma, RTS","Delta Gamma","Delta Gamma","Delta Gamma","90","Highest score match"
"163579305","APHI - Tote","Alpha Phi, RTS","Alpha Phi","Alpha Phi","Alpha Phi","90","Highest score match"
"163580171","AXO - Tote","Alpha Chi Omega, RTS","Alpha Chi Omega, Chi Omega","Alpha Chi Omega, Chi Omega","Alpha Chi Omega","90","Longest keyword wins tie-breaker"
"163585375","APHI - Snapbacks","Alpha Phi, Hat, Headwear, RTS","Alpha Phi","Alpha Phi","Alpha Phi","90","Highest score match"
"163585395","AXO - Snapbacks","Alpha Chi Omega, AXO Hidden, Hat, Headwear, RTS","Alpha Chi Omega, Chi Omega","Alpha Chi Omega, Chi Omega","Alpha Chi Omega","90","Longest keyword wins tie-breaker"
"163585485","DG - Snapbacks","Delta Gamma, Hat, Headwear, RTS","Delta Gamma","Delta Gamma","Delta Gamma","90","Highest score match"
"163585621","EK - Snapbacks","Hat, Headwear, RTS, Sigma Kappa","Sigma Kappa","Sigma Kappa","Sigma Kappa","90","Highest score match"
"163585769","GPHI - Snapbacks","Gamma Phi Beta, Hat, Headwear, RTS","Gamma Phi Beta, Beta","Gamma Phi Beta, Beta Theta Pi","Gamma Phi Beta","90","Highest score match"
"163585935","Theta - Snapbacks","Kappa Alpha Theta, RTS","Kappa Alpha Theta","Kappa Alpha Theta","Kappa Alpha Theta","90","Highest score match"
"163586125","Pi Phi - Snapbacks","Hat, Headwear, Pi Beta Phi, RTS","Pi Beta Phi, Beta","Pi Beta Phi, Beta Theta Pi","Pi Beta Phi","90","Highest score match"
"163688015","KKG - Tote","Bag, Kappa Kappa Gamma, RTS","Kappa Kappa Gamma","Kappa Kappa Gamma","Kappa Kappa Gamma","90","Highest score match"
"163688645","KKG - Snapbacks","Hat, Headwear, Kappa Kappa Gamma, RTS","Kappa Kappa Gamma","Kappa Kappa Gamma","Kappa Kappa Gamma","90","Highest score match"
"164040505","CHIO - Snapbacks","Chi Omega, Hat, Headwear, RTS","Chi Omega","Chi Omega","Chi Omega","90","Highest score match"
"164302007","DG Aviator Sugar Skull 1/4 Zip","Delta Gamma, RTS","Delta Gamma","Delta Gamma","Delta Gamma","90","Highest score match"
"167242552","Delta Gamma 1/4 Zip Sweatshirt","Delta Gamma, GroupBuy, RTS","Delta Gamma","Delta Gamma","Delta Gamma","100","Highest score match"
"168289536","DG - Ombre Spirit Jersey","Delta Gamma, GroupBuy, RTS","Delta Gamma","Delta Gamma","Delta Gamma","90","Highest score match"
